rho_cells_per_uL,V_pL,v_i,median_profiled_sloppy_angle_deg,k_io_nodes_with_a_profiled_block,median_log10_condition_number,k_io_nodes_identifiable
11158.8,48.5956,0.542271,15.7507,49,,
11158.8,56.8679,0.634580,11.3486,49,,
11158.8,66.5484,0.742603,12.0133,49,2.5119,7
12452,41.5266,0.517089,19.4973,49,,
12452,48.5956,0.605111,10.5683,49,,
12452,56.8679,0.708118,12.0119,49,2.8762,3
12452,66.5484,0.828659,14.6949,49,2.2518,8
13895,35.486,0.493076,19.3819,49,,
13895,41.5266,0.577011,9.9571,49,,
13895,48.5956,0.675234,12.0187,49,3.6112,3
13895,56.8679,0.790177,16.5731,49,2.3662,8
15505.2,30.324,0.470178,9.0712,49,,
15505.2,35.486,0.550215,8.7808,49,,
15505.2,41.5266,0.643877,10.1493,49,,
15505.2,48.5956,0.753483,17.1759,49,2.4689,5
17302,30.324,0.524664,8.9573,49,,
17302,35.486,0.613976,8.8362,49,,
17302,41.5266,0.718492,18.0996,49,3.0210,4
17302,48.5956,0.840799,15.8251,49,2.4997,8
19307,25.9129,0.500300,12.8024,49,,
19307,30.324,0.585464,9.3191,49,3.8369,1
19307,35.486,0.685127,10.9037,49,3.1907,5
19307,41.5266,0.801754,17.5860,49,2.6287,8
21544.3,22.1435,0.477066,11.9191,49,,
21544.3,25.9129,0.558276,7.2114,49,,
21544.3,30.324,0.653310,10.0595,49,3.2262,3
21544.3,35.486,0.764522,15.4147,49,2.6747,10
24041,22.1435,0.532351,7.5096,49,,
24041,25.9129,0.622972,9.4860,49,4.1762,2
24041,30.324,0.729019,14.5282,49,3.2327,5
26827,18.9224,0.507629,7.2148,49,,
26827,22.1435,0.594042,6.5258,49,4.0309,1
26827,25.9129,0.695164,10.0319,49,3.1541,4
26827,30.324,0.813500,17.6045,49,2.7508,7
29935.8,16.1698,0.484056,4.8512,49,3.8909,3
29935.8,18.9224,0.566455,6.1507,49,3.6362,4
29935.8,22.1435,0.662882,7.3448,49,3.2631,5
29935.8,25.9129,0.775722,19.3815,49,3.0628,7
33404.8,16.1698,0.540150,4.9922,49,3.4963,5
33404.8,18.9224,0.632098,8.9326,49,3.3644,7
33404.8,22.1435,0.739699,17.1452,49,2.9965,8
37275.9,13.8177,0.515066,4.3774,49,3.6065,6
37275.9,16.1698,0.602745,7.9230,49,3.3158,6
37275.9,18.9224,0.705349,15.7243,49,3.2137,9
37275.9,22.1435,0.825418,25.9567,49,2.8137,7
41595.6,11.8077,0.491147,4.4164,49,3.4595,7
41595.6,13.8177,0.574754,4.8846,49,3.4567,8
41595.6,16.1698,0.672593,12.9358,49,3.2453,8
41595.6,18.9224,0.787087,25.5624,49,3.0430,10
46415.9,10.0901,0.468339,3.4118,49,3.4945,8
46415.9,11.8077,0.548064,3.9594,49,3.4589,8
46415.9,13.8177,0.641359,10.6685,49,3.3723,9
46415.9,16.1698,0.750536,20.6065,49,3.2479,9
51794.7,10.0901,0.522612,3.1959,49,3.3326,10
51794.7,11.8077,0.611575,3.6612,49,3.3051,11
51794.7,13.8177,0.715682,15.3320,49,3.2779,11
51794.7,16.1698,0.837511,36.6513,49,3.1933,9
57796.9,8.62231,0.498343,4.1953,49,3.3078,12
57796.9,10.0901,0.583175,5.5499,49,3.3089,15
57796.9,11.8077,0.682447,12.9696,49,3.1806,12
57796.9,13.8177,0.798618,27.1990,49,3.2153,10
64494.7,7.36806,0.475201,2.4306,49,3.2019,12
64494.7,8.62231,0.556093,3.8419,49,3.1757,16
64494.7,10.0901,0.650755,10.2344,49,3.1705,14
64494.7,11.8077,0.761532,21.7577,49,3.1777,13
71968.6,7.36806,0.530269,2.0349,49,3.2068,15
71968.6,8.62231,0.620535,4.5332,49,3.1150,18
71968.6,10.0901,0.726168,13.9265,49,3.1174,15
80308.6,6.29627,0.505644,1.7964,49,3.0630,17
80308.6,7.36806,0.591719,5.4292,49,3.0932,20
80308.6,8.62231,0.692445,5.7783,49,3.1533,19
80308.6,10.0901,0.810319,25.8234,49,3.3371,17
89615.1,5.38038,0.482163,1.4600,49,3.0253,26
89615.1,6.29627,0.564240,1.9930,49,3.0472,22
89615.1,7.36806,0.660289,5.7086,49,3.0828,20
89615.1,8.62231,0.772689,21.0716,49,3.1633,18
100000,5.38038,0.538038,2.4915,49,2.9589,24
100000,6.29627,0.629627,3.8502,49,2.9912,27
100000,7.36806,0.736806,10.4812,49,3.1200,22
111588,4.59772,0.513052,2.0816,49,2.9361,29
111588,5.38038,0.600388,4.2768,49,3.0375,27
111588,6.29627,0.702590,5.8426,49,2.9967,27
