method,arm,cutoff_pL,fraction_above,count_above
map,baseline,5.0,0.5003681199990291,61846
map,baseline,10.0,0.2640755333694711,32640
map,baseline,15.0,0.24382488814815415,30137
map,baseline,20.0,0.23982006618069432,29642
map,baseline,30.0,0.21384131196349543,26431
map,baseline,50.0,0.015978835122693182,1975
map,baseline,90.0,0.007313856684007411,904
map,fit_s0,5.0,0.30965768885365,38274
map,fit_s0,10.0,0.16917338856481742,20910
map,fit_s0,15.0,0.13037920405174716,16115
map,fit_s0,20.0,0.12781449988268703,15798
map,fit_s0,30.0,0.11477253420279772,14186
map,fit_s0,50.0,0.025541864548021456,3157
map,fit_s0,90.0,0.002216810543604016,274
map,trust_floor_column,5.0,0.4756514914927873,58791
map,trust_floor_column,10.0,0.2628134076585141,32484
map,trust_floor_column,15.0,0.25265167757542417,31228
map,trust_floor_column,20.0,0.24665658044837824,30487
map,trust_floor_column,30.0,0.22075873172547147,27286
map,trust_floor_column,50.0,0.007516120419737704,929
map,trust_floor_column,90.0,0.003972459769742963,491
map,trust_floor_candidate,5.0,0.49965615164925853,61758
map,trust_floor_candidate,10.0,0.26581500149675164,32855
map,trust_floor_candidate,15.0,0.2465514033057985,30474
map,trust_floor_candidate,20.0,0.2437358921044328,30126
map,trust_floor_candidate,30.0,0.24190742793343095,29900
map,trust_floor_candidate,50.0,0.0035598417488531646,440
map,trust_floor_candidate,90.0,0.0008980509866425029,111
bayes,baseline,5.0,0.3064214690819654,37874
bayes,baseline,10.0,0.2514542762599008,31080
bayes,baseline,15.0,0.22881691895696638,28282
bayes,baseline,20.0,0.20282198364090906,25069
bayes,baseline,30.0,0.144472941157434,17857
bayes,baseline,50.0,0.029862217943220522,3691
bayes,baseline,90.0,0.0,0
bayes,fit_s0,5.0,0.16419078041347165,20149
bayes,fit_s0,10.0,0.1339423225795937,16437
bayes,fit_s0,15.0,0.11594970541978698,14229
bayes,fit_s0,20.0,0.09992910517695185,12263
bayes,fit_s0,30.0,0.07717757115966004,9471
bayes,fit_s0,50.0,0.03749276791316607,4601
bayes,fit_s0,90.0,0.0,0
bayes,trust_floor_column,5.0,0.33474648263363566,41375
bayes,trust_floor_column,10.0,0.27589582608554947,34101
bayes,trust_floor_column,15.0,0.2355239844337829,29111
bayes,trust_floor_column,20.0,0.19189974191147322,23719
bayes,trust_floor_column,30.0,0.13980469413677882,17280
bayes,trust_floor_column,50.0,0.02592212037119441,3204
bayes,trust_floor_column,90.0,0.0,0
bayes,trust_floor_candidate,5.0,0.30641337853253614,37873
bayes,trust_floor_candidate,10.0,0.25152709120476374,31089
bayes,trust_floor_candidate,15.0,0.22784605302546096,28162
bayes,trust_floor_candidate,20.0,0.20935914757971213,25877
bayes,trust_floor_candidate,30.0,0.17682704832485174,21856
bayes,trust_floor_candidate,50.0,0.0,0
bayes,trust_floor_candidate,90.0,0.0,0
