configuration,n_ensembles,n_walkers,axis_walks,delta_ms,Delta_ms,b_s_mm2,n_cellular_entries,se_min,se_q05,se_q25,se_median,se_q75,se_q95,se_max,se_mean
"20 x 200,000",20,200000,12000000,5.0,15.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"20 x 200,000",20,200000,12000000,5.0,15.0,500.0,24,8.630091326763941e-05,9.355975826542363e-05,0.00015204423368131916,0.00017689550580267773,0.0001956615963847567,0.00023269056786196152,0.00027425981578195783,0.0001719435023194713
"20 x 200,000",20,200000,12000000,5.0,15.0,1000.0,24,0.00012848837630276196,0.00013411448235671114,0.00017661375087384747,0.00021754542063975163,0.0002680415456328051,0.0036178879559090804,0.0041168556638375466,0.0006175470605857624
"20 x 200,000",20,200000,12000000,5.0,15.0,1500.0,24,0.00012529789921610364,0.00012865170487907056,0.00017314009019346878,0.00023186348453217275,0.0002803001066474494,0.0037515167955862174,0.005686225273881661,0.0008562443243260572
"20 x 200,000",20,200000,12000000,5.0,15.0,2000.0,24,0.0001215665416732097,0.00012376394056755333,0.0001727156266381946,0.00021997898640357738,0.0002617400742359138,0.003408628926313953,0.005380098004485466,0.0008217434726443943
"20 x 200,000",20,200000,12000000,5.0,15.0,2500.0,24,0.00013487126176937273,0.00015460067597762486,0.00017054582722762614,0.0002019766632897568,0.0002586798462981052,0.002862506846537288,0.003623975833522601,0.0005889209471389859
"20 x 200,000",20,200000,12000000,5.0,15.0,3000.0,24,0.00011738297133982443,0.0001472976944987727,0.0001881086488509457,0.00020417895400336096,0.00024572265775180677,0.00027156041320471584,0.0002868679354926023,0.00021029391390047837
"20 x 200,000",20,200000,12000000,5.0,15.0,3500.0,24,8.27951427704328e-05,0.00013964795307780622,0.0001762406374242897,0.0002105661935458242,0.00022909719284834829,0.000256983754621449,0.0002616013790390285,0.0002017006522639658
"20 x 200,000",20,200000,12000000,5.0,15.0,4000.0,24,7.984418832972149e-05,0.0001333645544636177,0.00016978483858127565,0.00019078273031056188,0.00022466805436551694,0.0002586561373454426,0.0002823898872421152,0.00019551495406735736
"20 x 200,000",20,200000,12000000,5.0,15.0,4500.0,24,9.223368384961638e-05,0.00012693628607982882,0.00016266711927167995,0.00019399763065434836,0.0002185491831535079,0.00026542983485662906,0.00028810652319856314,0.00019377223837307688
"20 x 200,000",20,200000,12000000,5.0,15.0,5000.0,24,0.00010359347762709263,0.00011666222705090088,0.00015786084749069642,0.00020070993550779838,0.00021745458475152117,0.0002766216915468383,0.0002805473902757885,0.00019428205159638788
"20 x 200,000",20,200000,12000000,5.0,15.0,5500.0,24,0.00011150608144814424,0.00011679760230275343,0.0001542618343039346,0.00019611897646952604,0.00022758412198047007,0.00027546411182330263,0.0006779167805176278,0.0002094723949622206
"20 x 200,000",20,200000,12000000,5.0,15.0,6000.0,24,0.00011123505265567606,0.00012201341977292435,0.00014562798945257565,0.00019182479684694569,0.00023514092680612778,0.0002787597085992334,0.001352289948778841,0.00023381005189568356
"20 x 200,000",20,200000,12000000,5.0,15.0,6500.0,24,0.00010989071397548605,0.00012003397886736991,0.000134245906719682,0.00018088878403884284,0.0002349420691940871,0.00026669055533257,0.001207902609238478,0.00022358353105599718
"20 x 200,000",20,200000,12000000,5.0,15.0,7000.0,24,0.0001036920079414815,0.00011115338101418549,0.000142721066808908,0.0001741611927724272,0.00022546075514935063,0.0002515157621834602,0.00028728618497416005,0.00018251102522676222
"20 x 200,000",20,200000,12000000,5.0,15.0,7500.0,24,8.739333932195328e-05,0.00011404255433303332,0.00015093268680059984,0.0001766596819229999,0.00021205496060406855,0.00025062230893523665,0.00027663779069018996,0.0001811446737572367
"20 x 200,000",20,200000,12000000,5.0,15.0,8000.0,24,8.026387315467987e-05,0.00011417826663283657,0.00015394303176345994,0.00018244310407232022,0.00020830403932521133,0.0002445222559916173,0.00026469833354104727,0.00018073814791316162
"20 x 200,000",20,200000,12000000,5.0,15.0,8500.0,24,7.986915175444122e-05,0.00011152165862867501,0.00014753744883180215,0.00017884430012451356,0.0002178430120011882,0.00024189770000860645,0.00025249297686997905,0.0001805863235678721
"20 x 200,000",20,200000,12000000,5.0,15.0,9000.0,24,8.54571311557069e-05,0.00011010479380840142,0.00014103820229948883,0.00018558263493235653,0.00021992486968125315,0.0002421450934739864,0.0002608300536049035,0.00018045688914779888
"20 x 200,000",20,200000,12000000,5.0,15.0,9500.0,24,9.67550850685179e-05,0.00010892770681170702,0.0001350766846647875,0.00018683692058209684,0.00021892762123423273,0.0002398595623786032,0.00028349742724833986,0.0001805134583960155
"20 x 200,000",20,200000,12000000,5.0,15.0,10000.0,24,0.00010763628542692938,0.00011158574762164266,0.00013097392237347422,0.0001840743272900715,0.000216488360552665,0.00024068622645602873,0.0018917248347974517,0.00024718572789890735
"20 x 200,000",20,200000,12000000,5.0,15.0,10500.0,24,0.0001149681823384133,0.00012014453339010058,0.0001391889945248796,0.00018793227948738067,0.00021379047668615975,0.00023646870346951808,0.0026223592185225237,0.00027820324165781207
"20 x 200,000",20,200000,12000000,5.0,15.0,11000.0,24,0.00012295988201776843,0.00012689311757562571,0.0001510040796026501,0.00018828477556387835,0.000209197170513029,0.00022772282188519754,0.002825569954421711,0.0002881144467008177
"20 x 200,000",20,200000,12000000,5.0,15.0,11500.0,24,9.867821016912907e-05,0.00012664817490576236,0.00014604905669889952,0.00019046290258048333,0.00021443005586503397,0.00023146868026893962,0.0025715532953065356,0.0002794170201261281
"20 x 200,000",20,200000,12000000,5.0,15.0,12000.0,24,7.832576466368829e-05,0.00011741886118159096,0.00015292191397535957,0.00019144100644070478,0.00022110775248248936,0.0002459271876986771,0.0017263285496739624,0.0002462421300820895
"20 x 200,000",20,200000,12000000,7.0,25.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"20 x 200,000",20,200000,12000000,7.0,25.0,500.0,24,0.00011013099265869773,0.00013456199204783426,0.0001510889968531638,0.00017373735216723134,0.00018769202726857882,0.0002246239197395,0.00023142336487826538,0.00017231533479999822
"20 x 200,000",20,200000,12000000,7.0,25.0,1000.0,24,9.513511743296245e-05,0.000130537619591751,0.00016868987041511086,0.0001953453826731643,0.00024142921960823447,0.0005774900097544536,0.003299778600777602,0.00034150914701261545
"20 x 200,000",20,200000,12000000,7.0,25.0,1500.0,24,9.210340575984121e-05,0.00014601833522623353,0.00016807004277829678,0.00019571964093533428,0.00026413970802409426,0.0015925139418529511,0.005291758289965227,0.0004814013551872412
"20 x 200,000",20,200000,12000000,7.0,25.0,2000.0,24,0.00013641970490540736,0.000145611919250413,0.00017658174858870452,0.0002000742549227516,0.0002573752369637251,0.0026607510228373495,0.006035727389942443,0.0005735798281848976
"20 x 200,000",20,200000,12000000,7.0,25.0,2500.0,24,0.00015326038939005338,0.00016596785318464288,0.00018637181715457494,0.00020424347348176568,0.0002493711284320369,0.003397467832077734,0.00597107836689403,0.0006041876424578332
"20 x 200,000",20,200000,12000000,7.0,25.0,3000.0,24,0.0001426233716264957,0.000154139168865268,0.00019386200730055208,0.00020948324628551135,0.0002415777117144566,0.0034414714884158037,0.005369801378996754,0.000582493223926034
"20 x 200,000",20,200000,12000000,7.0,25.0,3500.0,24,0.00013440502685135776,0.00014111287647130638,0.0001888453948116918,0.00021442839224266236,0.00023103858773382394,0.0031753461128347154,0.004485668905557081,0.00060627283312827
"20 x 200,000",20,200000,12000000,7.0,25.0,4000.0,24,0.0001242030600169582,0.00013978175090837753,0.00017850557295326277,0.00020823388167623988,0.00023950205738417965,0.003212441380561738,0.00357947029566662,0.0005713266142614227
"20 x 200,000",20,200000,12000000,7.0,25.0,4500.0,24,0.00011696001463850805,0.00014334683675974497,0.0001747385692943204,0.0002051424971128135,0.00023420313813459845,0.002340196198755111,0.003740464809356011,0.0004958945193956595
"20 x 200,000",20,200000,12000000,7.0,25.0,5000.0,24,0.00011951959247714088,0.00014596540203238705,0.000183325692657796,0.00020390989232409466,0.00022540721350289438,0.0012882798221111058,0.003356461252724623,0.00041611769830658267
"20 x 200,000",20,200000,12000000,7.0,25.0,5500.0,24,0.00013283397697254305,0.00014783107338450145,0.00018710631531375463,0.00019414085609332149,0.00023531779452982935,0.00028506165013860926,0.002613077343910136,0.00030497119981537433
"20 x 200,000",20,200000,12000000,7.0,25.0,6000.0,24,0.00015009717053922396,0.00015175122996384687,0.000176520270223802,0.00020827741519408193,0.00022992673341254197,0.00027516249484912426,0.0014046525995418837,0.0002540386825419895
"20 x 200,000",20,200000,12000000,7.0,25.0,6500.0,24,0.00015090557591052132,0.00015696513905302367,0.00016646532695633343,0.00020834737967381485,0.000231476024812871,0.00026740103708216737,0.00027463594473610734,0.0002055819383101588
"20 x 200,000",20,200000,12000000,7.0,25.0,7000.0,24,0.00013330247898907062,0.00015563906588105786,0.00016651323089767112,0.00019673591878184533,0.0002389357956124879,0.00026389418195559754,0.00027621636470727607,0.000202227630822937
"20 x 200,000",20,200000,12000000,7.0,25.0,7500.0,24,0.00012229044711029098,0.00014777389139725632,0.00016649133584558157,0.0001819163432671529,0.00023348948193288843,0.00026289470192766655,0.0012931232367303462,0.00023989494792283164
"20 x 200,000",20,200000,12000000,7.0,25.0,8000.0,24,0.0001274942310514734,0.0001349886452520866,0.00016643313576866452,0.00018658806009293704,0.00023148744370974538,0.0002623999587274599,0.0020643465721526576,0.00026789174784271714
"20 x 200,000",20,200000,12000000,7.0,25.0,8500.0,24,0.00011932188457027111,0.00013050614363188757,0.00016055878605207154,0.00017775820556420317,0.00022265044703422736,0.0002609863209326216,0.0022552937054369617,0.00027264869165634766
"20 x 200,000",20,200000,12000000,7.0,25.0,9000.0,24,0.00010555164293917422,0.00013298999761619668,0.00015619537501254508,0.000175501056287357,0.00021889063980052675,0.0002638171891826667,0.002140512567459827,0.00026548031811220185
"20 x 200,000",20,200000,12000000,7.0,25.0,9500.0,24,9.384816216244126e-05,0.00013194708976657112,0.00015373434498523758,0.00017871696718620714,0.00020818515888033884,0.00026655855963202515,0.0018074077902760963,0.0002497776104246812
"20 x 200,000",20,200000,12000000,7.0,25.0,10000.0,24,8.570148288228128e-05,0.00011894627177080498,0.00015699570010187933,0.00017564810300367496,0.00021903939430390458,0.00026323828491470815,0.0012279728530412814,0.0002243438681379645
"20 x 200,000",20,200000,12000000,7.0,25.0,10500.0,24,8.330370673155277e-05,0.00011075399134702669,0.00015495363555412036,0.00017627972795560278,0.00022372725177775946,0.00025900353390774907,0.000286153369464563,0.0001846792564855825
"20 x 200,000",20,200000,12000000,7.0,25.0,11000.0,24,8.810554294671849e-05,0.00010776058593184135,0.00015653506516657444,0.00018209497752365674,0.00022172799587407538,0.00026223576414355544,0.000276801519502999,0.0001851642628031057
"20 x 200,000",20,200000,12000000,7.0,25.0,11500.0,24,9.958453429650456e-05,0.00010832516379857113,0.00016037811717659094,0.00018687803127362488,0.00021348612986582776,0.0002663627016911341,0.00026930855106265835,0.00018689383741024576
"20 x 200,000",20,200000,12000000,7.0,25.0,12000.0,24,0.00010266929258379789,0.00011952342365151856,0.00016052307024488758,0.0001933849424241886,0.00020857037918834442,0.00025962103721628986,0.00027729243488812,0.0001893187140406669
"20 x 200,000",20,200000,12000000,10.0,30.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"20 x 200,000",20,200000,12000000,10.0,30.0,500.0,24,0.00011168042706047549,0.00011496494852738773,0.00015561704171741548,0.0001739833086838516,0.00018988206476417893,0.00020820740844711654,0.000224807212609925,0.00017006478814233432
"20 x 200,000",20,200000,12000000,10.0,30.0,1000.0,24,0.00010917980794609946,0.00013877767025717466,0.00017418428085319627,0.00021070357713049516,0.0002436573356392118,0.0002735040671144012,0.0008221100951184938,0.0002298915723646645
"20 x 200,000",20,200000,12000000,10.0,30.0,1500.0,24,0.00010393076102046373,0.00013487512403705486,0.00017407339269311195,0.00022414769749168274,0.00026487696773365985,0.0024868522663745525,0.0033657670617892516,0.0004888098798958689
"20 x 200,000",20,200000,12000000,10.0,30.0,2000.0,24,0.00011278510788777217,0.00013414718336939087,0.00017894354559196463,0.00022119378426097166,0.00026087772957095813,0.0038693924544525114,0.0047540392665073395,0.0006125066360604191
"20 x 200,000",20,200000,12000000,10.0,30.0,2500.0,24,0.00012947895247082883,0.0001346985756581534,0.0001785695591027202,0.0002179245621005251,0.000249650055273532,0.004158368134633324,0.005268105058336434,0.0006700377654685479
"20 x 200,000",20,200000,12000000,10.0,30.0,3000.0,24,0.0001308804893540225,0.00013539704322320498,0.00018395384819674626,0.00021883494134953006,0.00023715367109518483,0.0035914376153774337,0.005132289348502345,0.0006351355960448393
"20 x 200,000",20,200000,12000000,10.0,30.0,3500.0,24,0.00011616279903301745,0.00013605115776274706,0.0001810307745750471,0.00020128611662361992,0.0002416499731120799,0.002233660508386138,0.00453911417477849,0.0005332401935737933
"20 x 200,000",20,200000,12000000,10.0,30.0,4000.0,24,9.925587890555147e-05,0.00014298711858707784,0.00015734300380279657,0.00021274015711693014,0.00023747500732051576,0.0012778749739525098,0.0036373467280917137,0.0003943122951194213
"20 x 200,000",20,200000,12000000,10.0,30.0,4500.0,24,0.00010084116599978033,0.00010776910918230945,0.0001614107953788383,0.0002086604309800135,0.00023653059908223997,0.0009713809455812375,0.0024760156183336363,0.0003268382898547995
"20 x 200,000",20,200000,12000000,10.0,30.0,5000.0,24,8.021568775777908e-05,0.00010361975867490853,0.0001528919123379368,0.00020501900792083483,0.0002528873243374199,0.00030999098036948357,0.0005285701813067982,0.00021283580029531293
"20 x 200,000",20,200000,12000000,10.0,30.0,5500.0,24,9.011362840149956e-05,0.0001239920744211931,0.0001538036144383232,0.00020407273241626018,0.0002516085803617596,0.00028085636881866756,0.0011461339651455391,0.00023989516581225234
"20 x 200,000",20,200000,12000000,10.0,30.0,6000.0,24,0.00012631329178644534,0.0001326978889704877,0.00016973251428064486,0.00020391617333411,0.0002489895365293379,0.0002756832207852993,0.0019846880055325376,0.00027815701811300086
"20 x 200,000",20,200000,12000000,10.0,30.0,6500.0,24,0.00013809670456235278,0.00015884746847308695,0.0001808706610138104,0.00019813490758744832,0.0002487636366176216,0.0002763557763055635,0.002278349425542302,0.0002922660840799183
"20 x 200,000",20,200000,12000000,10.0,30.0,7000.0,24,0.0001497758835177977,0.00015734253556628868,0.00018292374785357405,0.0001975224412747034,0.00024334104719480552,0.00027537933339224206,0.002139048385791244,0.00028634655310455455
"20 x 200,000",20,200000,12000000,10.0,30.0,7500.0,24,0.000148394114026427,0.0001502985991553652,0.00018089353644523554,0.00020630118737190455,0.00022984279547728085,0.00027298145761370967,0.0014770589077938742,0.00025766072916225184
"20 x 200,000",20,200000,12000000,10.0,30.0,8000.0,24,0.0001346016314510395,0.00014583901132077002,0.00017770529086866618,0.00020736358895671653,0.0002342866036156378,0.00027701912333404435,0.00028177988945068917,0.00020728290782522896
