axis,stencil_width_k,stencil_row,left_entry,center_entry,right_entry,context_1,context_2,delta_ms,Delta_ms,b_s_mm2,derivative,variance_derivative,covariance_of_entry_means,beta
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,0.0,0.0,0.0,0.0,
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,500.0,0.13030723421800852,1.308260448390431e-06,4.085045444477067e-08,7.704725278344848e-05
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,1000.0,0.09792034585850277,1.5135780474567804e-06,4.0354683798514524e-08,0.00015785521813708667
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,1500.0,0.05802924252604522,1.2467548936841418e-06,3.7970009859088325e-08,0.00037024335979578076
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,2000.0,0.03220516249959251,1.053133802541151e-06,3.9809715348676966e-08,0.001015389254000539
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,2500.0,0.01757589441632058,9.822588063523453e-07,3.793698344925311e-08,0.0031797359803192493
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,3000.0,0.009535050730253451,9.58028525360637e-07,3.267855573673114e-08,0.010537374722762
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,3500.0,0.005071791027383209,9.558447406294362e-07,2.6681894545287442e-08,0.037159054312197
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,4000.0,0.002525830590654415,1.0041956027058383e-06,2.130594131109733e-08,0.15740186643585521
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,4500.0,0.0010261994535295936,1.1208553829672353e-06,1.6713275015150118e-08,1.0643538214398356
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,5000.0,0.0001131539363393025,1.2874410646876227e-06,1.2587789741758156e-08,100.55137743805781
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,5500.0,-0.0004649857163849204,1.4630916704985817e-06,8.67132581748065e-09,6.7669398059243475
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,6000.0,-0.0008488127193307139,1.6068126206691252e-06,5.079587798845316e-09,2.230188010256126
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,6500.0,-0.0011129658457622556,1.6945720144457415e-06,2.309270416534282e-09,1.3680323132871843
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,7000.0,-0.0012911642670416328,1.7247609137071452e-06,9.43512359899804e-10,1.0345843504358612
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,7500.0,-0.0013949871957898662,1.7103162074903965e-06,1.3078526427584004e-09,0.8788929251649715
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,8000.0,-0.0014295339018426246,1.66552044923594e-06,3.3208246378215877e-09,0.8150064594765524
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,8500.0,-0.0014046069038972542,1.598760513166985e-06,6.553560894707498e-09,0.8103522007208988
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,9000.0,-0.0013396800910980059,1.514794969494322e-06,1.0380297197082775e-08,0.8440178808141634
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,9500.0,-0.0012625543318039855,1.4206617662386035e-06,1.4141313528421712e-08,0.8912315247594091
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,10000.0,-0.0012035641696375454,1.3276975672844086e-06,1.7295191478750438e-08,0.916559491337073
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,10500.0,-0.0011883507543793657,1.2480104473336982e-06,1.9527165343000377e-08,0.8837489860119635
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,11000.0,-0.0012321309682791293,1.1896431828262745e-06,2.0767666628422175e-08,0.7836154205710322
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,11500.0,-0.0013372955752244248,1.15502080581673e-06,2.111579508191999e-08,0.6458549494929293
rho,1,0,15,18,21,19.0,6.2962652107424715,5.0,15.0,12000.0,-0.001494666227146176,1.1433436050943658e-06,2.0721871963675764e-08,0.5117859087064621
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,0.0,0.0,0.0,0.0,
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,500.0,0.17383869088003695,1.4146608798269736e-06,5.806862938378812e-08,4.6812243820453416e-05
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,1000.0,0.14491483905618593,1.6670111500578344e-06,8.580580414278447e-08,7.93803093441009e-05
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,1500.0,0.09583265141267805,1.6180907216507118e-06,7.538266785474006e-08,0.0001761878109175583
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,2000.0,0.05958985593456874,1.5781259669326207e-06,5.389822748025831e-08,0.0004444234792053611
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,2500.0,0.03678004759730459,1.497925778256771e-06,3.5405224647659103e-08,0.0011073010733454632
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,3000.0,0.023180202430747705,1.403275471618326e-06,2.277906979854333e-08,0.002611610977809707
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,3500.0,0.015195241750893932,1.3454459717705212e-06,1.4486628435834673e-08,0.005827080728751264
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,4000.0,0.010447406178938223,1.3179665833712742e-06,9.010580211893936e-09,0.012075008344322643
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,4500.0,0.007511693734493816,1.2905215998029627e-06,5.684447955556602e-09,0.02287123059272981
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,5000.0,0.005591841828969708,1.2506404946100531e-06,4.104334148873857e-09,0.03999656822907319
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,5500.0,0.004264956113845479,1.2020205166181947e-06,3.772893308732546e-09,0.06608193434606913
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,6000.0,0.003307006518102672,1.1471278619836612e-06,4.211018898943025e-09,0.10489184545954136
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,6500.0,0.0025890747608031117,1.0826568123474886e-06,5.145490243196849e-09,0.16151082323029914
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,7000.0,0.0020258869905028496,1.0097128910334717e-06,6.47126418440184e-09,0.24601833207998486
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,7500.0,0.001556239774346076,9.420959760381895e-07,8.051052309475771e-09,0.3889933054231784
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,8000.0,0.0011382869664079813,9.00980478005412e-07,9.605482197798688e-09,0.6953634426024695
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,8500.0,0.0007486611240734792,9.014414596070393e-07,1.0809472920147095e-08,1.6082996392741136
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,9000.0,0.00038033565957938014,9.43548791214049e-07,1.1478618439080208e-08,6.522743048552021
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,9500.0,3.8329174064791516e-05,1.013617122283234e-06,1.1665517842700334e-08,689.945865067578
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,10000.0,-0.00026562340666172924,1.0917183287658076e-06,1.1599407262205657e-08,15.47312083523939
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,10500.0,-0.0005180025770330045,1.1591122772581956e-06,1.1536699802754283e-08,4.319780356036589
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,11000.0,-0.0007071886854385299,1.2025387629904555e-06,1.1630869589348339e-08,2.4045204620101672
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,11500.0,-0.0008257607150464764,1.2157173715046928e-06,1.188445064071538e-08,1.7828885128742216
rho,1,0,15,18,21,19.0,6.2962652107424715,7.0,25.0,12000.0,-0.00087169081824512,1.1992493867391435e-06,1.218026767210164e-08,1.5782818495997954
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,0.0,0.0,0.0,0.0,
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,500.0,0.1931838942518432,1.5678181659221942e-06,5.092794410002158e-08,4.201011392876116e-05
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,1000.0,0.16826906537043249,1.890070417955805e-06,8.550779946030456e-08,6.675278964641882e-05
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,1500.0,0.1167920791472242,1.859674742294365e-06,8.524416745352042e-08,0.00013633589480722638
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,2000.0,0.0765159731172021,1.7593024380616343e-06,6.789329377725248e-08,0.0003004943375981195
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,2500.0,0.04996900950798904,1.5962897524078669e-06,4.879508279996941e-08,0.0006393081543337937
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,3000.0,0.03344222008466447,1.415329557463285e-06,3.402776822976421e-08,0.0012655152272820205
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,3500.0,0.02332418564543781,1.2597907593769068e-06,2.4273608011371057e-08,0.002315716763498452
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,4000.0,0.017088420869346522,1.1673118279190897e-06,1.8401372390486242e-08,0.00399744983806718
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,4500.0,0.013143273343033926,1.1622097594390754e-06,1.5056088079298024e-08,0.006727867624702542
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,5000.0,0.010526615142896866,1.234361699365847e-06,1.3321879101174771e-08,0.011139480745845877
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,5500.0,0.008663311683235251,1.3395136618606102e-06,1.274135243818877e-08,0.01784757717091342
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,6000.0,0.007212718856977115,1.4252875353941133e-06,1.3003529382159283e-08,0.02739709266318119
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,6500.0,0.005982911933489253,1.459606946811813e-06,1.372892897425887e-08,0.040776570917831795
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,7000.0,0.004881689068313857,1.4428249784155003e-06,1.4477815950236965e-08,0.060544322508958706
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,7500.0,0.0038831524182534245,1.4004096038654457e-06,1.4853779480639265e-08,0.09287230096125478
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,8000.0,0.0029999059667779834,1.3640775416791457e-06,1.4598361596145233e-08,0.15157367312267042
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,8500.0,0.002258928770658934,1.3533929863230952e-06,1.3660112086775009e-08,0.2652276808856341
rho,1,0,15,18,21,19.0,6.2962652107424715,10.0,30.0,9000.0,0.00168282266319037,1.3675823303254456e-06,1.2223106293095191e-08,0.48292176199821096
