axis,left_entry,right_entry,left_value,right_value,fixed_coordinate_1,fixed_coordinate_2,delta_ms,Delta_ms,b_s_mm2,correlation
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,0.0,
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,500.0,0.7443951354144949
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,1000.0,0.6474256024421977
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,1500.0,0.5843298453944261
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,2000.0,0.6107183855155863
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,2500.0,0.6812251105810151
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,3000.0,0.7342760092031267
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,3500.0,0.7358064271815111
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,4000.0,0.6929027172158737
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,4500.0,0.6333941054753718
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,5000.0,0.5833343906646186
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,5500.0,0.5509123086133929
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,6000.0,0.5262328843883597
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,6500.0,0.49263595789740505
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,7000.0,0.43752538510860906
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,7500.0,0.3586699013237077
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,8000.0,0.26736179707227803
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,8500.0,0.18511896887627005
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,9000.0,0.1316914371817107
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,9500.0,0.11570263946957951
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,10000.0,0.13592892995853062
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,10500.0,0.1856804953183656
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,11000.0,0.25476619147761786
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,11500.0,0.331572029481887
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,5.0,15.0,12000.0,0.40605263198598257
rho,0,3,64494.667710376205,71968.56730011514,19.0,6.2962652107424715,7.0,25.0,0.0,
