delta_ms,Delta_ms,b_s_mm2,n,min,q05,q25,median,q75,q95,max,mean
5.0,15.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,15.0,500.0,39,0.00018454097031344696,0.00018769021858991333,0.00020114507263407146,0.00024848182880938337,0.0003269398293826952,0.0003647690693763669,0.0003774012479950798,0.00026468611088818674
5.0,15.0,1000.0,39,0.000199278058622192,0.00020291845197046405,0.0002167013991054359,0.0002554607735808028,0.0003264363466886978,0.00035003178456545074,0.0003633394953217552,0.00026965077319110936
5.0,15.0,1500.0,39,0.00019670630915649573,0.00020192751914977855,0.0002117613544858797,0.0002402207687566185,0.00027210679873694143,0.000283837613421622,0.0002906443641865811,0.00024253229302649825
5.0,15.0,2000.0,39,0.00018104474578514604,0.000192661881723201,0.0002056404260098212,0.0002263796900714237,0.00023650105744493988,0.00027649404438331415,0.000296352788118817,0.00022511221161164655
5.0,15.0,2500.0,39,0.0001675797281491939,0.0001737652536031532,0.00019801981533432004,0.0002105361739237713,0.00023357758219655426,0.00027627920445699955,0.00028858411728798216,0.00021603421701692452
5.0,15.0,3000.0,39,0.00015756061859624452,0.0001628378021948467,0.00019021551836559693,0.00020605608288794388,0.0002302730890999548,0.0002600327973683612,0.00026952001884921985,0.00020969480794877748
5.0,15.0,3500.0,39,0.0001511442918858077,0.00015719415617198418,0.00018899015076693875,0.00019962768550122433,0.00022345830926089324,0.0002484399698547903,0.00024989408648623567,0.00020361321238659914
5.0,15.0,4000.0,39,0.00015023230287995826,0.00015392937831427476,0.00018384976812009903,0.00019971709033020236,0.00022069681405566764,0.0002373278552532529,0.00024009446983513078,0.00019871563253933875
5.0,15.0,4500.0,39,0.00015455745287678107,0.00015481939353748577,0.00017564922320146772,0.00020103166319582693,0.00021805051161535426,0.0002245530082850802,0.00023134797895489473,0.0001963984666072812
5.0,15.0,5000.0,39,0.0001597549659622378,0.00016352024914191484,0.00017698219241025234,0.00020103400300909932,0.00021742975522219874,0.00022517259904419453,0.00022979944785123753,0.00019648777530168046
5.0,15.0,5500.0,39,0.00016701247843545235,0.0001682336384541359,0.0001786278163638328,0.0001979324996113348,0.00021141208030093332,0.00022792271575390718,0.00022935719846461583,0.00019753767168385815
5.0,15.0,6000.0,39,0.0001693818614956599,0.0001739498157029977,0.00018412414497293066,0.00019978953425211037,0.0002070204942858664,0.00022552297120049898,0.00022819921405647673,0.00019794377683194665
5.0,15.0,6500.0,39,0.00015911812869024846,0.0001725880794732517,0.00018218393895504012,0.0001987073183012191,0.00020626665828741398,0.00022455706327772278,0.00023254204726445808,0.00019679837765430785
5.0,15.0,7000.0,39,0.00014842462799255577,0.00016158461426334973,0.00018211089090935858,0.0001928838206783006,0.0002045066673402388,0.00022616885927254047,0.00023757304224648014,0.00019417613020900377
5.0,15.0,7500.0,39,0.0001402744478336245,0.00015339788003669293,0.0001784138787542177,0.00018796158541190715,0.00020356008330485963,0.0002273046422013759,0.0002408183914250891,0.00019090242776776707
