sweep,configuration,n_ensembles,n_walkers,axis_walks,independent_walker_factor,ensemble_correlated_factor,lower_factor,upper_factor,lower_median_finite_beta,upper_median_finite_beta,lower_q05_finite_beta,lower_q95_finite_beta,upper_q05_finite_beta,upper_q95_finite_beta,n_finite,n_infinite,n_undefined_zero_over_zero
fixed_12m_axis_walks,"20 x 200,000",20,200000,12000000,1.0,2.0,1.0,2.0,0.006811705671861909,0.013623411343723819,4.5529447921588327e-05,2.22509226572355,9.105889584317665e-05,4.4501845314471,576,0,24
fixed_12m_axis_walks,"40 x 100,000 (current)",40,100000,12000000,1.0,1.0,1.0,1.0,0.006811705671861909,0.006811705671861909,4.5529447921588327e-05,2.22509226572355,4.5529447921588327e-05,2.22509226572355,576,0,24
fixed_12m_axis_walks,"60 x 66,667",60,66667,12000060,0.9999950000249999,0.6666666666666666,0.6666666666666666,0.9999950000249999,0.004541137114574606,0.0068116716135038415,3.0352965281058878e-05,1.4833948438157,4.552922027548694e-05,2.2250811403178483,576,0,24
fixed_12m_axis_walks,"80 x 50,000",80,50000,12000000,1.0,0.5,0.5,1.0,0.0034058528359309547,0.006811705671861909,2.2764723960794163e-05,1.112546132861775,4.5529447921588327e-05,2.22509226572355,576,0,24
fixed_12m_axis_walks,"100 x 40,000",100,40000,12000000,1.0,0.4,0.4,1.0,0.0027246822687447643,0.006811705671861909,1.8211779168635332e-05,0.8900369062894201,4.5529447921588327e-05,2.22509226572355,576,0,24
requested_36m_axis_walk_sensitivity,"20 x 600,000",20,600000,36000000,0.3333333333333333,2.0,0.3333333333333333,2.0,0.002270568557287303,0.013623411343723819,1.5176482640529439e-05,0.74169742190785,9.105889584317665e-05,4.4501845314471,576,0,24
requested_36m_axis_walk_sensitivity,"40 x 300,000",40,300000,36000000,0.3333333333333333,1.0,0.3333333333333333,1.0,0.002270568557287303,0.006811705671861909,1.5176482640529439e-05,0.74169742190785,4.5529447921588327e-05,2.22509226572355,576,0,24
requested_36m_axis_walk_sensitivity,"60 x 200,000",60,200000,36000000,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.002270568557287303,0.004541137114574606,1.5176482640529439e-05,0.74169742190785,3.0352965281058878e-05,1.4833948438157,576,0,24
requested_36m_axis_walk_sensitivity,"80 x 150,000",80,150000,36000000,0.3333333333333333,0.5,0.3333333333333333,0.5,0.002270568557287303,0.0034058528359309547,1.5176482640529439e-05,0.74169742190785,2.2764723960794163e-05,1.112546132861775,576,0,24
requested_36m_axis_walk_sensitivity,"100 x 120,000",100,120000,36000000,0.3333333333333333,0.4,0.3333333333333333,0.4,0.002270568557287303,0.0027246822687447643,1.5176482640529439e-05,0.74169742190785,1.8211779168635332e-05,0.8900369062894201,576,0,24
